B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,STATE,ELEV_IN_FT,POP_2010,id
31,26,24,35,28,201,21,558,MI,692,11600,3212
35,31,29,36,34,202,27,559,MI,594,10038,3215
32,28,25,50,37,203,23,560,MA,98,95072,3219
36,32,30,37,31,201,24,561,MA,13,55874,3220
38,35,35,52,45,203,32,562,MI,774,21133,3226
31,28,25,61,44,202,27,563,MI,968,10945,3250
35,32,31,41,35,206,25,564,MI,915,10994,3254
32,28,25,38,28,199,18,565,CT,98,30562,3264
30,26,23,53,33,199,19,566,CT,128,63268,3269
29,25,21,48,31,195,20,567,CT,43,26668,3271
34,31,28,37,31,202,23,568,CT,43,12498,3272
28,25,21,60,35,192,19,569,CT,607,15344,3276
37,34,33,52,41,200,31,570,CT,223,17737,3284
40,37,37,61,47,204,30,571,RI,39,71148,3285
36,30,28,36,31,203,24,572,RI,85,19376,3286
42,39,39,55,50,209,36,573,RI,66,80387,3287
34,28,25,30,25,196,22,574,RI,62,47037,3288
59,58,52,53,49,204,36,575,RI,10,178042,3289
35,31,29,45,42,207,30,576,RI,194,41186,3290
34,32,29,59,43,202,28,577,RI,98,11547,3295
36,32,29,41,42,203,33,578,OH,650,12841,3337
26,20,14,73,32,190,13,579,RI,20,82672,3344
41,41,43,53,55,204,43,580,NE,1447,22111,3345
38,37,38,68,58,205,39,581,NE,1197,26397,3346
36,29,29,32,31,194,28,582,RI,26,24672,3355
32,28,23,48,37,200,19,583,CT,13,51384,3359
28,22,17,50,30,190,17,584,CT,226,36018,3360
30,25,21,46,30,192,19,585,CT,16,26391,3361
35,30,28,49,38,200,28,586,RI,36,17936,3368
33,28,25,39,28,195,19,587,CT,39,24093,3372
30,24,21,50,35,199,21,588,CT,213,13956,3373
35,30,28,44,33,202,23,589,PA,968,14057,3381
38,36,36,43,42,203,35,590,PA,745,76089,3389
33,27,25,30,23,201,18,591,OH,633,15651,3394
39,37,36,54,47,204,33,592,OH,1184,11953,3395
38,36,35,49,44,204,35,593,OH,948,13074,3396
35,31,31,44,39,204,29,594,OH,1040,10751,3397
32,29,27,64,45,201,26,595,OH,761,32718,3400
42,40,40,50,46,203,37,596,OH,1197,30444,3402
36,34,35,62,51,202,33,597,OH,863,81601,3406
30,28,26,67,45,199,25,598,OH,856,20718,3407
33,29,27,58,43,202,27,599,OH,869,10546,3409
29,25,21,61,41,199,23,600,OH,692,20213,3410
34,32,31,67,54,202,32,601,OH,883,11804,3411
28,22,18,53,32,197,18,602,OH,1050,28448,3412
38,38,39,63,59,203,40,603,OH,1040,23348,3413
34,33,32,50,46,202,33,604,OH,958,22295,3414
31,27,24,58,39,202,23,605,OH,932,44750,3415
34,31,30,51,43,202,29,606,OH,1027,13539,3416
41,41,40,50,50,204,36,607,OH,1037,13542,3419
26,19,14,75,33,193,11,608,OH,709,32729,3420
32,26,24,32,26,196,19,609,PA,1017,10557,3426
36,32,30,47,40,203,27,610,OH,594,25793,3433
35,32,31,48,42,202,31,611,PA,994,14038,3441
31,26,23,49,31,199,19,612,NY,213,56853,3477
35,28,26,33,28,194,22,613,NY,82,195976,3478
30,25,22,43,30,194,20,614,NJ,1017,15147,3482
38,36,35,61,56,204,41,615,PA,554,10477,3484
38,36,35,55,49,204,34,616,OH,1168,34255,3485
38,35,35,61,48,203,33,617,OH,1089,26678,3486
30,25,21,55,36,197,20,618,NJ,187,84136,3511
35,30,28,39,32,203,24,619,NJ,82,18791,3513
34,29,27,53,37,203,23,620,NJ,10,10626,3534
32,28,25,53,38,202,23,621,NJ,26,24136,3535
32,25,23,38,26,193,17,622,NJ,259,23594,3537
36,31,29,37,30,200,23,623,NJ,82,17479,3541
35,29,27,47,32,200,22,624,NJ,49,11513,3543
34,29,27,44,34,201,23,625,NJ,46,19403,3544
32,25,22,27,21,197,16,626,NJ,46,27147,3546
27,22,17,56,32,195,16,627,NJ,98,32457,3548
39,34,33,37,34,201,26,628,NJ,236,13835,3549
36,30,29,31,26,196,22,629,NJ,285,35345,3552
25,19,14,52,29,191,14,630,NJ,407,10590,3553
31,25,22,43,31,199,19,631,NJ,30,30487,3554
37,33,31,38,34,201,27,632,NJ,85,11601,3555
43,38,37,43,40,203,31,633,NJ,20,43010,3556
34,29,26,55,38,200,23,634,NJ,135,11842,3558
45,44,44,72,57,202,36,635,NJ,59,10219,3560
30,27,24,62,42,199,25,636,OH,1007,10713,3562
31,25,23,32,28,199,21,637,OH,856,66982,3563
38,35,33,54,47,203,37,638,NJ,259,15845,3574
28,23,19,57,34,196,16,639,NJ,361,18411,3577
